Date,S&P Adj Close,S&P Volume,S&P return
1-Mar-16,"2,059.74","92,639,420,000",0.063904985
1-Feb-16,"1,932.23","93,049,560,000",-0.0041369
1-Jan-16,"1,940.24","92,409,770,000",-0.052067641
1-Dec-15,"2,043.94","83,649,260,000",-0.017685672
1-Nov-15,"2,080.41","75,943,590,000",0.000504836
1-Oct-15,"2,079.36","85,844,900,000",0.079719343
1-Sep-15,"1,920.03","79,989,370,000",-0.026798719
1-Aug-15,"1,972.18","84,626,790,000",-0.064624716
1-Jul-15,"2,103.84","77,920,590,000",0.019549693
1-Jun-15,"2,063.11","73,213,980,000",-0.021235662
1-May-15,"2,107.39","65,187,730,000",0.010436785
1-Apr-15,"2,085.51","72,060,940,000",0.008484666
1-Mar-15,"2,067.89","76,675,850,000",-0.017549145
1-Feb-15,"2,104.50","68,775,560,000",0.053438871
1-Jan-15,"1,994.99","77,330,040,000",-0.031532822
1-Dec-14,"2,058.90","80,743,820,000",-0.004197308
1-Nov-14,"2,067.56","63,600,190,000",0.024237469
1-Oct-14,"2,018.05","93,714,040,000",0.022936394
1-Sep-14,"1,972.29","66,706,000,000",-0.015635458
1-Aug-14,"2,003.37","58,131,140,000",0.03696367
1-Jul-14,"1,930.67","66,524,690,000",-0.01519472
1-Jun-14,"1,960.23","63,283,380,000",0.018878979
1-May-14,"1,923.57","63,623,630,000",0.020812198
1-Apr-14,"1,883.95","71,595,810,000",0.006181651
1-Mar-14,"1,872.34","71,885,030,000",0.00690824
1-Feb-14,"1,859.45","69,725,590,000",0.042213382
1-Jan-14,"1,782.59","75,871,910,000",-0.036231397
1-Dec-13,"1,848.36","64,958,820,000",0.023289515
1-Nov-13,"1,805.81","63,628,190,000",0.02766328
1-Oct-13,"1,756.54","76,647,400,000",0.043629978
1-Sep-13,"1,681.55","66,174,410,000",0.029315544
1-Aug-13,"1,632.97","64,802,810,000",-0.031798262
1-Jul-13,"1,685.73","68,106,820,000",0.048277758
1-Jun-13,"1,606.28","74,946,790,000",-0.015112953
1-May-13,"1,630.74","76,447,250,000",0.020550175
1-Apr-13,"1,597.57","77,098,000,000",0.017924162
1-Mar-13,"1,569.19","68,527,110,000",0.035355367
1-Feb-13,"1,514.68","69,273,480,000",0.010999882
1-Jan-13,"1,498.11","75,848,510,000",0.049197761
1-Dec-12,"1,426.19","66,388,180,000",0.007043447
1-Nov-12,"1,416.18","71,489,310,000",0.002842659
1-Oct-12,"1,412.16","71,752,320,000",-0.019987836
1-Sep-12,"1,440.67","69,784,280,000",0.023947057
1-Aug-12,"1,406.58","70,283,810,000",0.019570602
1-Jul-12,"1,379.32","73,103,810,000",0.012518949
1-Jun-12,"1,362.16","81,582,440,000",0.038792661
1-May-12,"1,310.33","86,920,490,000",-0.06469925
1-Apr-12,"1,397.91","74,761,710,000",-0.007525745
1-Mar-12,"1,408.47","83,899,660,000",0.030851536
1-Feb-12,"1,365.68","78,385,710,000",0.039787331
1-Jan-12,"1,312.41","79,567,560,000",0.042659999
1-Dec-11,"1,257.60","74,742,430,000",0.008496553
1-Nov-11,"1,246.96","84,275,050,000",-0.005071483
1-Oct-11,"1,253.30","98,063,670,000",0.102306592
1-Sep-11,"1,131.42","102,786,820,000",-0.074467128
1-Aug-11,"1,218.89","108,419,170,000",-0.058467492
1-Jul-11,"1,292.28","81,102,170,000",-0.021708367
1-Jun-11,"1,320.64","86,122,730,000",-0.018426233
1-May-11,"1,345.20","81,708,980,000",-0.013592894
1-Apr-11,"1,363.61","77,364,810,000",0.028096916
1-Mar-11,"1,325.83","89,507,640,000",-0.001047851
1-Feb-11,"1,327.22","59,223,660,000",0.031456595
1-Jan-11,"1,286.12","92,164,940,000",0.022392985
1-Dec-10,"1,257.64","80,984,530,000",0.063256517
1-Nov-10,"1,180.55","87,151,070,000",-0.002292909
1-Oct-10,"1,183.26","89,536,270,000",0.036193001
1-Sep-10,"1,141.20","79,589,450,000",0.083928475
1-Aug-10,"1,049.33","85,738,250,000",-0.048611803
1-Jul-10,"1,101.60","94,778,110,000",0.066515783
1-Jun-10,"1,030.71","110,106,750,000",-0.05538838
1-May-10,"1,089.41","127,662,780,000",-0.085531654
1-Apr-10,"1,186.69","116,741,910,000",0.014651468
1-Mar-10,"1,169.43","103,683,550,000",0.057132761
1-Feb-10,"1,104.49","84,561,340,000",0.028114744
1-Jan-10,"1,073.87","90,947,580,000",-0.037675141
1-Dec-09,"1,115.10","89,515,330,000",0.017614547
1-Nov-09,"1,095.63","84,981,530,000",0.055779016
1-Oct-09,"1,036.19","113,410,990,000",-0.019959865
1-Sep-09,"1,057.08","112,295,490,000",0.035100104
1-Aug-09,"1,020.62","116,059,270,000",0.033009321
1-Jul-09,987.48,"106,635,790,000",0.071521977
1-Jun-09,919.32,"112,653,150,000",0.000195816
1-May-09,919.14,"131,614,940,000",0.051720558
1-Apr-09,872.81,"138,855,320,000",0.089772215
1-Mar-09,797.87,"161,843,640,000",0.081952736
1-Feb-09,735.09,"124,492,210,000",-0.116456544
1-Jan-09,825.88,"112,090,640,000",-0.089549886
1-Dec-08,903.25,"112,884,470,000",0.007791136
1-Nov-08,896.24,"115,660,210,000",-0.077798346
1-Oct-08,968.75,"159,823,030,000",-0.185636486
1-Sep-08,"1,166.36","140,007,320,000",-0.095180787
1-Aug-08,"1,282.83","86,266,010,000",0.012116797
1-Jul-08,"1,267.38","124,980,570,000",-0.0099083
