date,Equal Weighted,GDP_weighted,GDP_capita_weighted,rich_country_capita,poor_country_capita
10/31/2006,0.007879576,0.005164716,0.013381298,0.004704971,0.029075937
11/30/2006,-0.007161502,-0.007057336,0.000503425,-0.00760227,0.015165845
12/29/2006,0.011480547,0.01656319,0.011626201,0.007923847,0.018323402
1/31/2007,0.002631068,0.006406677,-0.001041797,0.005236073,-0.012397857
2/28/2007,0.000240601,-0.003981789,0.000488993,-0.002720397,0.006294469
3/30/2007,0.006708526,0.007006616,0.007500055,0.001219463,0.018861041
4/30/2007,0.004220878,0.014779683,0.005581605,-0.00480298,0.024366317
5/31/2007,0.003998375,0.007382251,0.002144686,0.001622886,0.003088571
6/29/2007,0.005070988,0.006672519,0.006797733,0.003673165,0.012449776
7/31/2007,-0.002929845,-0.006919634,-0.001395056,-0.002186744,3.70311E-05
8/31/2007,-0.008855198,-0.011200531,-0.014700205,-0.010329378,-0.022606611
9/28/2007,0.008469327,0.004723314,0.014950055,0.001896509,0.038562657
10/31/2007,0.006000492,0.00802385,0.007497406,-0.001462916,0.023705762
11/30/2007,-0.006745354,-0.01255092,-0.006929175,-0.009436347,-0.002393942
12/31/2007,0.003704896,0.001632437,0.003799861,0.001568244,0.007836641
1/31/2008,-0.004931986,-0.013818407,-0.003265212,-0.003836839,-0.002231194
2/29/2008,0.008335914,0.003537242,0.01328463,0.01614403,0.008112252
3/31/2008,-0.00516014,-0.015357244,-0.00497965,-0.009286373,0.002810794
4/30/2008,0.010724997,0.017641275,0.012473542,0.012212872,0.012945068
5/30/2008,0.001326701,-0.001881412,0.004429547,0.006277732,0.001086359
6/30/2008,-0.002455025,-0.000788274,0.000218608,0.000999928,-0.001194724
7/31/2008,0.006220926,0.011439699,0.004068567,-0.001866561,0.014804641
8/29/2008,-0.028414315,-0.024822781,-0.032283986,-0.028463346,-0.039195154
9/30/2008,-0.008456279,-0.000143057,-0.017340813,-0.013453645,-0.024372325
10/31/2008,-0.071166306,-0.075631252,-0.08683889,-0.078191106,-0.102481896
11/28/2008,-0.00864161,-0.009773819,-0.012088965,-0.009204594,-0.017306514
12/31/2008,0.012891421,-0.010899524,0.025534358,0.017659758,0.039778747
1/30/2009,-0.034960822,-0.014908998,-0.046051249,-0.030766454,-0.073699967
2/27/2009,-0.012155442,0.003245524,-0.008269,-0.002078829,-0.019466419
3/31/2009,0.028566072,0.017537973,0.034147257,0.02763509,0.045927137
4/30/2009,0.017317552,0.010744521,0.017271523,0.007748391,0.034497948
5/29/2009,0.030483717,0.019544905,0.032978574,0.015260788,0.065028338
6/30/2009,0.008686533,0.009390841,0.009588584,0.007988701,0.012482619
7/31/2009,-0.000737957,-0.006701174,0.001510652,-0.00340384,0.010400494
8/31/2009,0.001029273,-0.009531308,0.004124877,0.004879404,0.00276001
9/30/2009,0.008871416,-0.006610873,0.013401662,0.007468192,0.024134736
10/30/2009,0.007609493,0.014263771,0.008422878,0.009767307,0.005990936
11/30/2009,0.005364176,-0.006105813,0.008394444,0.003496441,0.017254458
12/31/2009,0.001826969,0.016215599,-0.001243614,-0.002868336,0.001695351
1/29/2010,-0.005893787,-0.007214144,-0.009544482,-0.009482834,-0.009655998
2/26/2010,-0.00342994,-0.008129165,-0.000601107,-0.002018659,0.001963106
3/31/2010,0.013745346,0.025554663,0.01700155,0.012772311,0.024651834
4/30/2010,0.006381779,0.007336622,0.005815105,0.005154558,0.007009971
5/31/2010,-0.019964201,-0.020301349,-0.035307321,-0.024042293,-0.055684668
6/30/2010,-0.000825606,-0.00404814,-0.000830769,-0.001112221,-0.00032165
7/30/2010,0.02582832,0.012425014,0.031059171,0.028764767,0.035209528
8/31/2010,-0.014121557,-0.01851813,-0.016546306,-0.016731193,-0.016211864
9/30/2010,0.034698878,0.026156997,0.043346824,0.034992422,0.05845913
10/29/2010,0.008298136,-0.001034603,0.010119516,0.002943575,0.0231001
11/30/2010,-0.013469023,-0.002629909,-0.013092135,-0.001269732,-0.03447772
12/31/2010,0.014563987,0.00471134,0.02384667,0.020458588,0.029975383
